Protein name,Simulation abundance,Average degree,Average free proteins
Q96I99,1006,0.0,1006.0
P31749,110,5.111731843575419,12.0
Q7Z460,100,0.1568627450980392,86.0
Q86U42,102,0.0,102.0
Q9H0E2,212,0.02830188679245283,206.0
O00629,292,0.24705882352941178,264.0
P40227,383,0.0783289817232376,353.0
P13693,361,0.17174515235457063,299.0
P20936,54,1.5,24.0
Q96QV6,881,0.0,881.0
P33527,54,0.0,54.0
Q6ZW49,53,0.018867924528301886,52.0
Q9NZL4,131,1.2096069868995634,76.0
Q9NZL9,190,0.0,190.0
Q13724,105,0.0,105.0
P84077,573,2.9768970698722765,287.0
Q01970,35,2.5943396226415096,13.0
Q9BUF5,210,0.0,210.0
Q15544,85,0.023529411764705882,83.0
Q9NXR1,66,0.12121212121212122,58.0
Q07960,343,0.6403061224489796,223.0
P56377,95,0.010526315789473684,94.0
O00244,214,0.03271028037383177,207.0
Q9NZZ3,144,0.034722222222222224,139.0
P51172,49,0.02040816326530612,48.0
Q9HB07,110,0.0,110.0
Q53FA7,69,0.0,69.0
P02545,1106,1.8722308088614117,661.0
P38398,40,5.4125874125874125,5.0
P02549,172,0.06976744186046512,160.0
Q9HCE1,39,0.02564102564102564,38.0
Q13838,294,0.02040816326530612,288.0
Q15276,41,0.5111111111111111,26.0
P49789,449,0.36026200873362446,311.0
P02768,3546,0.049069373942470386,3372.0
P05386,272,0.2888086642599278,207.0
P78347,78,0.0,78.0
Q04323,189,0.2849740932642487,146.0
Q9NTZ6,42,0.0,42.0
Q86VM9,40,0.0,40.0
P20618,494,6.691620856238547,100.0
P52272,374,0.09308510638297872,341.0
A0AVT1,93,0.0,93.0
Q93034,97,0.8706896551724138,55.0
Q15369,452,0.3691983122362869,351.0
Q15366,455,1.0590841949778433,318.0
Q8TDX7,210,0.02857142857142857,204.0
Q15365,725,3.85954157782516,282.0
P02741,359,0.1894150417827298,291.0
O00401,79,5.10727969348659,0.0
Q96QG7,73,0.0,73.0
P29401,304,0.0,304.0
Q9UMS4,124,3.021333333333333,58.0
P02746,195,0.010256410256410256,193.0
P35244,194,0.07216494845360824,180.0
P39023,182,0.0,182.0
O75436,291,0.054982817869415807,275.0
P35241,319,0.10344827586206896,286.0
O75439,349,0.0,349.0
P43034,347,0.35359116022099446,266.0
Q96CS3,98,1.7537688442211055,16.0
P01031,116,0.017241379310344827,114.0
