Protein name,Simulation abundance,Average degree,Average free proteins
Q9Y6C9,507,0.0,507.0
P20936,137,3.8186714542190305,40.0
Q00534,272,0.9874055415617129,195.0
Q00537,62,0.08064516129032258,57.0
O00244,583,0.0017152658662092624,582.0
P40424,185,0.02702702702702703,180.0
Q7Z3T8,52,0.0,52.0
Q13838,693,0.08946608946608947,631.0
P02768,3234,0.04236239950525665,3097.0
P05386,446,0.3899782135076253,306.0
P05387,1171,0.08539709649871904,1071.0
P02760,355,0.08169014084507042,326.0
P05388,572,0.4188562596599691,432.0
P02766,835,0.3372228704784131,608.0
Q9UQ03,79,0.1518987341772152,67.0
O15259,37,0.2702702702702703,27.0
P29401,637,0.0,637.0
P39023,602,0.0,602.0
Q96CS3,203,1.8152350081037276,33.0
P62807,1369,0.0,1369.0
P62805,4272,4.488896825629574,155.0
Q92835,29,0.13793103448275862,25.0
Q9H845,336,0.0,336.0
Q9Y6E0,231,6.859910102739726,13.0
O43933,28,0.0,28.0
Q09161,269,2.6579301075268815,37.0
P09001,180,0.0,180.0
P53708,76,0.14102564102564102,67.0
P60520,224,2.4689922480620154,69.0
Q14562,81,0.0,81.0
Q14566,344,3.475704629511542,38.0
P41214,59,0.0,59.0
Q92520,272,0.0,272.0
Q92522,584,0.0,584.0
Q02878,804,0.0,804.0
Q96HA7,28,10.798353909465021,0.0
Q96G23,101,0.0,101.0
Q96G21,82,0.0,82.0
Q9BWU0,101,0.13861386138613863,87.0
Q9BWU1,45,0.0,45.0
Q13232,329,0.3508771929824561,244.0
Q00535,131,1.0782122905027933,76.0
Q9NXR1,144,0.05555555555555555,136.0
Q15768,126,0.007936507936507936,125.0
P23743,37,0.05405405405405406,35.0
Q8WUF5,62,0.28125,50.0
Q9NXR7,162,0.10429447852760736,148.0
O00712,240,0.020833333333333332,235.0
P48147,517,0.0,517.0
Q96RU3,57,2.9752475247524752,7.0
Q96RU2,275,0.17253521126760563,241.0
Q6VMQ6,50,0.04,48.0
Q9NYU2,276,0.0,276.0
P50395,859,0.5720524017467249,442.0
Q9Y5A7,80,0.4827586206896552,63.0
Q13643,121,0.16260162601626016,103.0
Q13642,659,0.237741456166419,529.0
Q6XQN6,271,0.0,271.0
Q02127,73,0.0,73.0
P62380,128,0.03125,124.0
Q9BQ15,101,0.009900990099009901,100.0
Q96CN9,51,0.0,51.0
Q5RKV6,229,0.25311203319502074,188.0
P10644,688,4.18648736228127,113.0
P10646,57,0.0,57.0
P60891,486,0.037037037037037035,468.0
Q9NZM5,46,0.0,46.0
P07099,332,0.0,332.0
Q9NZM1,167,0.0,167.0
Q01968,33,0.06060606060606061,31.0
Q9Y294,212,3.8602388323750554,26.0
Q9Y295,314,0.03184713375796178,304.0
P49790,109,3.628230616302187,40.0
P49792,137,16.739068968999295,0.0
P51116,175,0.1853932584269663,151.0
P51114,275,0.10507246376811594,249.0
Q9H7L9,122,0.7514792899408284,96.0
O60547,181,0.0,181.0
O60812,556,0.0,556.0
Q6NUQ1,50,0.04,48.0
Q9P0L0,607,0.11639344262295082,541.0
P35251,103,0.1262135922330097,90.0
P35250,162,1.791237113402062,73.0
Q08170,242,0.05371900826446281,229.0
Q92734,456,0.16424116424116425,412.0
Q92736,214,0.004672897196261682,213.0
O00506,84,5.938700823421775,10.0
O00505,222,1.1540616246498598,135.0
P01009,694,0.024495677233429394,677.0
P01008,174,0.05172413793103448,165.0
Q01581,109,0.0,109.0
Q8IYD1,41,2.3402061855670104,16.0
O75396,566,0.038869257950530034,544.0
Q8IVD9,191,0.0,191.0
P46013,18,0.2777777777777778,13.0
P46019,57,0.0,57.0
O94979,281,0.20134228187919462,240.0
P42773,79,0.0379746835443038,76.0
O94973,302,1.5411140583554377,88.0
Q8WXH0,119,0.06722689075630252,111.0
P19447,36,0.3076923076923077,29.0
P08237,826,0.1053268765133172,739.0
Q16512,115,0.9635036496350365,43.0
Q16513,166,0.6701570680628273,109.0
Q14004,26,0.0,26.0
Q9H3P2,173,0.192090395480226,151.0
Q9BTC0,43,0.0,43.0
Q9UFC0,57,0.0,57.0
O14936,147,0.36666666666666664,101.0
O43324,443,0.0,443.0
O14933,80,0.20987654320987653,66.0
P49407,261,2.887515451174289,73.0
Q9UHY1,333,0.04504504504504504,318.0
Q9UNE7,172,3.774972557628979,32.0
Q9H0S4,116,0.0,116.0
Q00975,42,0.0,42.0
Q86SZ2,138,0.12318840579710146,121.0
Q7Z2T5,92,0.0,92.0
Q9BYM8,44,0.0,44.0
Q7L2H7,391,1.8098591549295775,273.0
P50897,245,0.0,245.0
Q13586,102,0.0,102.0
O95758,116,0.14655172413793102,99.0
Q9BWH6,27,0.0,27.0
Q9C0J8,74,0.0,74.0
O00268,46,0.06521739130434782,43.0
O00267,134,1.6655405405405406,83.0
O00264,553,0.0,553.0
P08865,793,0.4542518837459634,597.0
Q9NQ50,273,0.0,273.0
O95347,127,1.0246913580246915,70.0
Q13190,131,0.48201438848920863,90.0
Q12982,56,0.48333333333333334,39.0
Q9Y608,149,0.06040268456375839,140.0
P29466,87,0.022988505747126436,85.0
Q9Y605,125,0.072,116.0
Q9Y606,69,0.0,69.0
Q93100,86,0.0,86.0
P28482,427,4.357115749525617,62.0
Q9Y6V7,65,0.0,65.0
P62829,679,0.19804741980474197,599.0
P62820,806,0.02357320099255583,787.0
P62826,889,2.6930253988366064,92.0
P18615,145,0.14965986394557823,129.0
Q9BZE9,115,0.1826086956521739,94.0
P02745,94,0.05319148936170213,89.0
Q9BZE4,167,0.08982035928143713,152.0
Q9UHD9,213,0.0,213.0
Q9UHD8,610,0.5294117647058824,406.0
Q9UHD2,98,3.271867612293144,19.0
Q9UHD1,228,2.4515477792732168,107.0
P08195,148,0.0945945945945946,134.0
P17480,268,0.018656716417910446,263.0
Q96HC4,698,0.038461538461538464,675.0
O75182,29,0.16666666666666666,27.0
Q71DI3,1076,0.16440831074977416,955.0
P14618,2349,0.2265429896539422,2168.0
P63010,388,2.0513803680981595,241.0
Q96BR5,94,0.0,94.0
Q15746,300,0.18711656441717792,265.0
P23769,48,0.20833333333333334,38.0
P23760,46,0.0,46.0
Q99538,144,0.0,144.0
Q99536,517,0.0,517.0
Q9BQE3,459,0.0,459.0
Q9BQE4,164,0.2857142857142857,130.0
P52657,192,0.020833333333333332,188.0
Q9UJT9,46,0.10869565217391304,41.0
P21941,240,0.008333333333333333,238.0
Q9NS69,508,0.08858267716535433,463.0
Q16891,670,0.013432835820895522,661.0
Q16890,71,1.1379310344827587,42.0
P12755,53,0.32142857142857145,46.0
P13489,595,0.05714285714285714,561.0
Q14839,263,1.3424317617866004,192.0
Q9HD33,285,0.0,285.0
O14745,260,1.840958605664488,116.0
O14744,325,2.2248150256118384,114.0
Q96I24,258,0.0,258.0
P22415,83,0.060240963855421686,78.0
P16444,50,0.04,48.0
P50402,439,1.7276867030965393,135.0
P10599,624,1.0451219512195122,187.0
Q5JTH9,94,0.0,94.0
Q96C03,48,0.08333333333333333,44.0
Q9P2P5,51,0.0,51.0
Q86WX3,86,0.0,86.0
Q969X5,355,0.0,355.0
O60830,262,0.011450381679389313,259.0
O60832,252,0.08333333333333333,231.0
Q9Y2V7,112,0.026785714285714284,109.0
Q12874,363,0.6134831460674157,232.0
Q9P0J0,819,0.04,792.0
Q8NBJ5,229,0.0,229.0
O75400,121,0.33858267716535434,88.0
P01023,333,0.6538461538461539,203.0
P17677,296,0.31891891891891894,252.0
Q13029,24,0.041666666666666664,23.0
Q13023,37,0.05405405405405406,35.0
P41212,80,0.2345679012345679,64.0
Q92974,184,2.3853904282115868,80.0
Q9H2P0,167,3.842214532871972,59.0
P56693,48,0.0,48.0
Q02447,75,0.47560975609756095,59.0
Q66LE6,66,0.12121212121212122,58.0
Q05397,164,5.313201035375323,35.0
Q14247,380,3.0399560922063666,118.0
Q14240,499,1.8906122448979592,341.0
Q14241,71,0.19718309859154928,57.0
Q8IWX8,152,0.05228758169934641,147.0
P24928,143,50.9601677148847,0.0
P19429,733,0.5816326530612245,430.0
P07858,460,0.2875,346.0
O94953,31,0.0,31.0
Q86YB8,80,0.1625,67.0
Q68E01,143,0.006993006993006993,142.0
Q9GZR7,84,0.0,84.0
Q16795,737,0.0,737.0
O14910,265,0.06792452830188679,247.0
P62280,776,2.0995839833593344,403.0
P25786,678,9.766004415011038,37.0
P25787,734,8.146977968490814,56.0
P49427,65,0.208955223880597,57.0
P25789,668,6.513402457757296,77.0
O60220,204,0.06372549019607843,191.0
Q8IZH2,34,0.0,34.0
P27448,74,4.983606557377049,9.0
P63220,860,0.14617169373549885,736.0
P11142,1173,4.429445953362698,101.0
O95777,584,0.0,584.0
Q13564,346,0.31351351351351353,266.0
Q13561,521,0.02495201535508637,508.0
O00203,162,0.0,162.0
Q9Y624,196,0.14427860696517414,178.0
O15297,41,0.52,30.0
Q12965,52,0.0,52.0
P60866,640,2.565968393972804,287.0
Q12962,103,0.1650485436893204,86.0
Q9UID3,131,0.0,131.0
Q9P253,85,0.20930232558139536,70.0
P62841,645,0.20454545454545456,539.0
Q96CW1,329,1.534621578099839,216.0
Q9Y6Y8,192,0.0,192.0
Q9UKV8,164,1.3224489795918368,87.0
Q9UKV3,196,1.4525745257452574,121.0
P35606,395,1.3572778827977316,141.0
P35609,1646,0.46551724137931033,1092.0
P42566,152,3.1019522776572668,71.0
P39060,329,0.24653739612188366,272.0
P78537,81,0.10975609756097561,75.0
P11908,181,0.03314917127071823,175.0
P78536,78,0.038461538461538464,75.0
P00403,874,0.0,874.0
Q05707,624,0.125,546.0
P52564,282,0.07746478873239436,262.0
P52565,785,0.4964871194379391,530.0
Q96HE7,251,0.43609022556390975,180.0
Q8TED0,63,0.0,63.0
P14635,49,2.6788990825688073,9.0
P07992,59,0.05084745762711865,56.0
P07996,259,0.1423076923076923,225.0
P07998,279,0.12186379928315412,245.0
O43592,125,0.7172413793103448,85.0
P40123,534,0.12359550561797752,468.0
Q8WUB8,64,0.0,64.0
Q86X55,144,0.0625,135.0
Q99558,33,2.3055555555555554,14.0
Q96RQ3,361,0.0,361.0
Q8N3U4,136,3.300791556728232,76.0
Q9NQP4,449,0.12249443207126949,394.0
P40692,73,2.8560794044665014,6.0
P33778,3104,0.0,3104.0
Q13177,371,1.720741599073001,212.0
P07339,475,0.08958333333333333,443.0
P61764,164,0.04878048780487805,156.0
P61769,456,0.06359649122807018,427.0
Q14814,90,0.07777777777777778,83.0
P10606,975,0.0,975.0
Q9HD15,116,0.0603448275862069,109.0
Q9NZI8,363,0.0,363.0
P62072,278,0.07194244604316546,258.0
O14763,49,0.04081632653061224,47.0
Q5JTJ3,238,0.0,238.0
Q9P2R7,410,0.0,410.0
Q6P3X3,49,0.0,49.0
P51153,283,0.038869257950530034,272.0
P51151,245,0.36507936507936506,174.0
Q9UMX0,201,1.8253968253968254,48.0
Q9UMX5,156,0.0,156.0
Q13797,167,0.14201183431952663,145.0
P18846,88,0.0,88.0
Q9Y478,184,0.2962962962962963,143.0
Q9NVU7,38,0.0,38.0
P02461,172,0.046511627906976744,164.0
P78406,264,0.678343949044586,191.0
P23142,390,0.3333333333333333,294.0
Q9Y3L3,117,0.008547008547008548,116.0
P17655,475,0.11368421052631579,421.0
Q9UM54,92,0.09782608695652174,83.0
P01042,236,0.13135593220338984,205.0
Q15029,431,3.030683847920388,11.0
Q15025,40,0.4186046511627907,31.0
Q15024,169,0.9320388349514563,124.0
O00541,92,2.891640866873065,8.0
Q15021,108,0.08333333333333333,99.0
Q15020,270,3.881159420289855,100.0
Q6PJ61,42,0.27906976744186046,33.0
Q15022,83,0.9071428571428571,55.0
Q86V81,542,0.4585365853658537,351.0
Q15052,102,0.21904761904761905,88.0
O15173,490,0.0,490.0
Q86V88,107,0.0,107.0
Q9Y4J8,169,0.8780487804878049,121.0
Q8TCG1,47,0.10638297872340426,42.0
Q9P1Z2,38,0.0,38.0
P34741,161,0.08074534161490683,148.0
Q8IY57,107,0.4523809523809524,83.0
Q9BVG9,78,0.0,78.0
P32745,50,0.0,50.0
Q99962,93,4.3461117196056955,9.0
Q99963,54,0.21428571428571427,48.0
Q99967,63,0.015873015873015872,62.0
P42224,248,3.52987644318412,2.0
P42226,110,1.7990654205607477,9.0
Q9UI47,463,0.17248459958932238,403.0
P04150,110,6.49896480331263,12.0
P04156,157,0.7536231884057971,119.0
O75688,174,0.41798941798941797,142.0
Q9H081,97,0.31683168316831684,77.0
P27348,977,5.490815439990071,151.0
Q8N6R0,54,0.0,54.0
Q9NUP9,240,0.03333333333333333,232.0
O14976,56,0.017857142857142856,55.0
Q9GZP9,129,0.15503875968992248,109.0
Q9H9A6,188,0.0,188.0
P49441,144,0.0,144.0
Q05519,179,0.0,179.0
