Protein name,Simulation abundance,Average degree,Average free proteins
metformin,316,0.014767932489451477,311.3333333333333
P62962,904,2.5902754025693295,334.6666666666667
Q3TIV5,272,0.19068736141906872,243.33333333333334
P13439,171,2.2174776564051637,60.666666666666664
Q9D6Z1,431,3.5670134827310225,17.333333333333332
Q99PV0,330,3.677074298930327,50.666666666666664
G5E829,61,0.21390374331550802,50.333333333333336
Q9JJK2,317,1.2669322709163346,178.0
Q8BK35,458,0.2607594936708861,389.3333333333333
P15116,666,2.87708496221006,303.0
P56959,434,0.040706605222734255,416.3333333333333
Q9D304,348,1.1195484864032836,220.33333333333334
P14576,310,14.013812129627109,1.3333333333333333
P97432,268,0.6408566721581549,190.66666666666666
Q5XJE5,82,0.7980769230769231,65.66666666666667
Q6ZWU9,770,1.4917387883556255,304.3333333333333
Q8K310,573,0.06552706552706553,546.6666666666666
Q3UKJ7,221,12.310681832359485,1.3333333333333333
Q9CQV8,530,2.6213264814517423,378.6666666666667
B2RQC6,224,16.99840641546291,1.0
A2ANY6,67,14.49161940768746,3.3333333333333335
Q8K268,299,3.4429758035391838,19.0
P97765,233,0.10453920220082531,217.0
P26450,135,2.1384297520661155,67.33333333333333
P42932,806,0.36840324763193505,622.3333333333334
Q8R0Y6,1912,3.8149687524887566,24.666666666666668
Q922R8,709,0.03319308087891538,689.3333333333334
Q80U70,55,0.21052631578947367,47.666666666666664
P20029,1548,3.2218965817422087,570.3333333333334
Q05915,168,0.14705882352941177,154.66666666666666
Q8C1B7,202,0.8320855614973262,147.66666666666666
Q3UVL4,266,2.042583392476934,116.66666666666667
P42337,64,0.036458333333333336,61.666666666666664
O89112,658,1.4380841121495327,278.0
Q61233,767,7.745862243569107,0.0
Q61235,356,3.6291378201490563,20.0
Q9R0P3,337,0.9834319526627219,218.0
Q8BGQ7,468,4.158406454866364,18.0
Q9D5T0,112,2.109689213893967,51.333333333333336
Q8CGA0,160,0.07228915662650602,154.0
P68181,112,0.11242603550295859,100.0
Q6Y7W8,137,0.8322784810126582,101.33333333333333
P62908,1396,0.6751341117071632,1209.0
P56565,412,0.016181229773462782,405.3333333333333
P17047,342,0.0341130604288499,330.3333333333333
Q6P9P6,46,0.02857142857142857,45.333333333333336
Q6NVE8,50,8.879297732260424,6.333333333333333
P51881,1331,3.1804647582498493,69.0
Q9DC51,224,0.9826800364630811,144.33333333333334
P51660,1011,3.740252753821194,20.0
Q91YR1,817,1.4641669186573933,314.6666666666667
Q9R049,349,1.6990276035131744,221.66666666666666
P55096,1336,0.02660367976131278,1305.0
P55284,340,5.556010455704973,2.6666666666666665
Q8BVZ1,123,0.10282776349614396,116.33333333333333
P63328,264,0.1697674418604651,238.0
P21279,110,0.9213709677419355,75.66666666666667
Q61823,172,3.4869077306733165,14.666666666666666
Q3UM45,111,0.7567567567567568,84.33333333333333
Q8BGS1,680,5.592148750690173,2.0
O35598,123,0.06504065040650407,115.0
Q61687,43,0.14728682170542637,36.666666666666664
Q9JI44,69,0.03864734299516908,66.33333333333333
Q9D2G2,847,1.3687249398556536,376.3333333333333
Q9JIW5,125,0.13895781637717122,115.66666666666667
P67984,670,0.540519877675841,487.3333333333333
P97792,265,2.2788951461517835,77.66666666666667
P26443,1442,2.8190322759078463,95.66666666666667
P46935,379,9.549477909961324,0.6666666666666666
Q70IV5,54,0.07142857142857142,52.0
P23249,318,0.2300556586270872,276.6666666666667
P08003,961,0.3013742409715564,728.6666666666666
Q80SY4,127,8.063595068137573,2.0
P24369,374,0.22748815165876776,326.0
P68040,191,13.500991371895738,0.0
Q99K90,58,0.4672897196261682,51.333333333333336
O89053,387,9.788468625871882,0.6666666666666666
P43277,215,0.3803921568627451,179.33333333333334
P43274,505,0.6049129989764586,339.3333333333333
Q91VM5,550,0.8099301784328937,372.6666666666667
Q9CSH3,68,0.7448275862068966,54.0
Q8BVE8,136,1.0664451827242525,91.33333333333333
Q7TQI3,156,0.11290322580645161,146.66666666666666
Q8QZT1,850,2.6163340497390237,112.66666666666667
Q9DCT2,184,0.1414141414141414,170.0
Q6P9R1,60,1.3824362606232294,42.333333333333336
P51612,70,5.140168400198118,21.0
Q9ESD7,122,0.0546448087431694,115.33333333333333
Q6IRU2,1053,0.40736072598941264,783.6666666666666
P97313,23,0.30666666666666664,17.333333333333332
Q9ERK4,353,3.521395556880871,18.333333333333332
Q8K4I3,76,0.1206896551724138,69.33333333333333
Q922Q8,352,2.462536690869767,63.0
P42227,487,6.479774120795769,2.6666666666666665
P80316,574,0.5068426197458455,388.3333333333333
Q99JF8,65,1.6532066508313539,45.666666666666664
P00405,221,0.4024691358024691,188.66666666666666
P12710,1548,0.4868035190615836,1050.0
P11031,325,0.17586529466791395,293.6666666666667
Q91WM1,59,2.9316770186335406,19.333333333333332
Q925B0,238,0.12745098039215685,207.66666666666666
P08228,253,2.0638870208473437,136.66666666666666
Q8K354,314,1.0378833433553818,199.66666666666666
Q8VE80,81,10.654860132823506,3.3333333333333335
O35218,107,4.097374179431072,14.0
Q91VH2,355,0.04037558685446009,340.6666666666667
B1AWN6,47,5.7292457948996205,4.666666666666667
Q8CI94,89,0.099644128113879,84.33333333333333
Q80U63,188,2.1325425477050026,82.66666666666667
Q80Z37,81,0.07905138339920949,77.66666666666667
Q9D8C4,481,2.5280824194084413,80.66666666666667
Q91XB0,87,0.11552346570397112,81.66666666666667
Q8BKH7,66,0.06060606060606061,62.0
Q9D0T1,424,0.2646657571623465,359.3333333333333
Q03265,1938,3.0785098739051824,116.66666666666667
Q91ZW3,92,5.647725053700449,5.0
O35129,672,0.44325396825396823,501.0
Q9Z0N2,71,1.56198347107438,44.666666666666664
P70333,655,3.926475150462245,12.0
Q3U1J4,593,0.3032904148783977,487.0
P62830,897,0.38717410848067124,681.6666666666666
P70168,466,0.07510431154381085,443.3333333333333
P22437,61,0.02185792349726776,59.666666666666664
O08553,300,0.1927710843373494,268.0
