Protein name,Simulation abundance,Average degree,Average free proteins
Q64339,543,7.373499886855671,0.3333333333333333
Q60960,171,9.33180328906757,1.0
Q8CDG3,114,0.7820247933884298,70.33333333333333
Q8R0Y6,2289,3.874928799497738,11.333333333333334
P14733,574,0.43326790971540724,385.0
Q3UEB3,296,1.2981056829511466,146.0
Q8VIJ6,432,2.5655074966637885,62.333333333333336
P06801,1465,0.6200058326042578,1303.0
Q99LE6,221,3.601981929466628,10.333333333333334
Q99K48,568,2.671086813229421,66.33333333333333
P58252,1180,7.1443168553007945,0.6666666666666666
P35979,314,3.6292168574193333,12.333333333333334
Q99KV1,329,2.527178153446034,74.66666666666667
P42567,543,2.6190892691193355,242.0
P35700,563,2.5493583115382275,95.66666666666667
Q64727,521,2.3201880386523897,150.66666666666666
Q61768,380,0.3060921248142645,311.3333333333333
Q91YE7,138,2.1497261107729764,45.0
P05784,2284,0.630421746951829,1232.6666666666667
P97823,189,1.0179282868525896,120.0
Q8QZT1,950,2.786766663300807,81.0
Q9EPL8,309,2.4976621858562242,55.333333333333336
Q62318,487,4.583362410110208,5.0
Q9D0N7,118,11.353851045949076,0.3333333333333333
Q9EQU5,162,0.5951417004048583,66.66666666666667
Q9ERK4,322,3.681720007853917,11.333333333333334
Q3UJB0,354,3.8026232788810823,14.333333333333334
Q9EPK7,119,1.0176565008025682,81.66666666666667
P42932,1031,0.49150455552819505,688.3333333333334
P42227,300,6.543449891249791,1.3333333333333333
Q9EPU0,539,1.2426210153482882,281.3333333333333
P12710,786,0.4668400520156047,546.6666666666666
Q91XD4,1258,4.845759515678271,0.6666666666666666
Q9R1C7,285,13.380137612186532,0.0
Q9CR68,964,1.1567844014703532,443.0
P70195,384,0.9095528455284553,240.66666666666666
Q8BH59,287,2.5740767146727506,39.666666666666664
Q01853,1811,14.053794423011237,0.0
Q9CZD3,311,3.595251101642449,10.333333333333334
O35129,563,0.5852594853903184,401.0
Q03265,2460,2.9149186571592005,78.0
Q68FL6,466,2.6694284216046147,62.0
Q9Z0N1,525,2.4739186664750683,95.33333333333333
O55128,387,0.2913907284768212,321.0
P62830,843,0.463081130355515,589.0
Q6DFW4,435,3.714572806614607,9.333333333333334
Q8BJ71,97,0.14057507987220447,89.66666666666667
P99024,461,18.2604050187491,0.3333333333333333
Q91Z38,163,4.492403689636462,4.0
Q62376,747,0.44967139398132133,530.3333333333334
P08551,120,0.9468267581475128,87.0
P26443,2448,2.9041672987624874,53.0
Q9D0R2,1027,4.804514955019607,1.0
P06151,982,0.6493793103448275,847.3333333333334
Q9D0I8,309,0.2849213691026827,257.6666666666667
Q9D0I9,506,4.729228304405875,2.6666666666666665
Q8K1M6,461,4.584271613315554,4.333333333333333
Q8VEM8,537,2.734523329545871,43.0
P67778,665,0.4444444444444444,475.0
Q6Y7W8,172,1.2596063730084348,101.66666666666667
