ComplexName,SubunitName,RegulatedGene,RegulationType,NumOfSubunits
c-Jun-ATF3 complex,ATF3,CCL5,Unknown,2
c-Jun-ATF3 complex,JUN,CCL5,Unknown,2
c-Jun-ATF3 complex,ATF3,CD82,Unknown,2
c-Jun-ATF3 complex,JUN,CD82,Activation,2
c-Jun-ATF3 complex,ATF3,DDIT3,Activation,2
c-Jun-ATF3 complex,JUN,DDIT3,Activation,2
c-Jun-ATF3 complex,ATF3,IFNG,Activation,2
c-Jun-ATF3 complex,JUN,IFNG,Activation,2
c-Jun-ATF3 complex,JUN,IFNG,Unknown,2
c-Jun-ATF3 complex,ATF3,MMP2,Repression,2
c-Jun-ATF3 complex,JUN,MMP2,Activation,2
c-Jun-ATF3 complex,ATF3,PENK,Unknown,2
c-Jun-ATF3 complex,JUN,PENK,Unknown,2
c-Jun-ATF3 complex,ATF3,TP53,Unknown,2
c-Jun-ATF3 complex,JUN,TP53,Repression,2
c-Jun-ATF3 complex,JUN,TP53,Unknown,2
ATF4-CREB1 complex,ATF4,IL6,Unknown,2
ATF4-CREB1 complex,CREB1,IL6,Activation,2
ATF4-CREB1 complex,ATF4,NDC80,Activation,2
ATF4-CREB1 complex,CREB1,NDC80,Activation,2
ATF4-CREB1 complex,ATF4,PLAU,Activation,2
ATF4-CREB1 complex,CREB1,PLAU,Unknown,2
ATF4-CREB1 complex,ATF4,PTGS2,Unknown,2
ATF4-CREB1 complex,CREB1,PTGS2,Activation,2
ESR1-CEBPB complex,CEBPB,CDKN1A,Activation,2
ESR1-CEBPB complex,ESR1,CDKN1A,Activation,2
ESR1-CEBPB complex,ESR1,CDKN1A,Repression,2
ESR1-CEBPB complex,CEBPB,CYP19A1,Repression,2
ESR1-CEBPB complex,CEBPB,CYP19A1,Unknown,2
ESR1-CEBPB complex,ESR1,CYP19A1,Activation,2
ESR1-CEBPB complex,CEBPB,PLAC1,Unknown,2
ESR1-CEBPB complex,ESR1,PLAC1,Activation,2
ESR1-CEBPB complex,ESR1,PLAC1,Unknown,2
CEBPE-E2F1-RB1 complex,CEBPE,MYC,Repression,3
CEBPE-E2F1-RB1 complex,E2F1,MYC,Activation,3
SMAD3-SMAD4-CTCF protein-DNA complex,CTCF,MYC,Activation,3
SMAD3-SMAD4-CTCF protein-DNA complex,CTCF,MYC,Repression,3
SMAD3-SMAD4-CTCF protein-DNA complex,CTCF,MYC,Unknown,3
SMAD3-SMAD4-CTCF protein-DNA complex,SMAD3,MYC,Unknown,3
SMAD3-SMAD4-CTCF protein-DNA complex,CTCF,TERT,Repression,3
SMAD3-SMAD4-CTCF protein-DNA complex,SMAD3,TERT,Repression,3
SMAD3-SMAD4-CTCF protein-DNA complex,SMAD3,TERT,Unknown,3
GABP(gamma)1-E2F1-DP1 complex,E2F1,CCNE1,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,CCNE1,Activation,3
E2F-1-DP-1 complex,E2F1,CCNE1,Activation,2
E2F-1-DP-1 complex,TFDP1,CCNE1,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,CDK1,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,CDK1,Activation,3
E2F-1-DP-1 complex,E2F1,CDK1,Activation,2
E2F-1-DP-1 complex,TFDP1,CDK1,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,DHFR,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,DHFR,Activation,3
E2F-1-DP-1 complex,E2F1,DHFR,Activation,2
E2F-1-DP-1 complex,TFDP1,DHFR,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,MYBL2,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,MYBL2,Activation,3
E2F-1-DP-1 complex,E2F1,MYBL2,Activation,2
E2F-1-DP-1 complex,TFDP1,MYBL2,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,NRIP1,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,NRIP1,Activation,3
E2F-1-DP-1 complex,E2F1,NRIP1,Activation,2
E2F-1-DP-1 complex,TFDP1,NRIP1,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,PCNA,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,PCNA,Activation,3
E2F-1-DP-1 complex,E2F1,PCNA,Activation,2
E2F-1-DP-1 complex,TFDP1,PCNA,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,RRM1,Activation,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,RRM1,Activation,3
E2F-1-DP-1 complex,E2F1,RRM1,Activation,2
E2F-1-DP-1 complex,TFDP1,RRM1,Activation,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,TP53,Activation,3
GABP(gamma)1-E2F1-DP1 complex,E2F1,TP53,Repression,3
GABP(gamma)1-E2F1-DP1 complex,E2F1,TP53,Unknown,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,TP53,Repression,3
E2F-1-DP-1 complex,E2F1,TP53,Activation,2
E2F-1-DP-1 complex,E2F1,TP53,Repression,2
E2F-1-DP-1 complex,E2F1,TP53,Unknown,2
E2F-1-DP-1 complex,TFDP1,TP53,Repression,2
GABP(gamma)1-E2F1-DP1 complex,E2F1,TYMS,Activation,3
GABP(gamma)1-E2F1-DP1 complex,E2F1,TYMS,Unknown,3
GABP(gamma)1-E2F1-DP1 complex,TFDP1,TYMS,Activation,3
E2F-1-DP-1 complex,E2F1,TYMS,Activation,2
E2F-1-DP-1 complex,E2F1,TYMS,Unknown,2
E2F-1-DP-1 complex,TFDP1,TYMS,Activation,2
ELK1-SRF-ELK4 complex,ELK1,FOS,Unknown,3
ELK1-SRF-ELK4 complex,ELK4,FOS,Activation,3
ELK1-SRF-ELK4 complex,ELK4,FOS,Unknown,3
ELK1-SRF-ELK4 complex,SRF,FOS,Activation,3
ELK1-SRF-ELK4 complex,SRF,FOS,Unknown,3
ELK1-SRF-ELK3 complex,ELK1,FOS,Unknown,3
ELK1-SRF-ELK3 complex,SRF,FOS,Activation,3
ELK1-SRF-ELK3 complex,SRF,FOS,Unknown,3
ELK1-SAP1a-SRF complex,ELK1,FOS,Unknown,3
ELK1-SAP1a-SRF complex,ELK4,FOS,Activation,3
ELK1-SAP1a-SRF complex,ELK4,FOS,Unknown,3
ELK1-SAP1a-SRF complex,SRF,FOS,Activation,3
ELK1-SAP1a-SRF complex,SRF,FOS,Unknown,3
ELK1-SRF-ELK4 complex,ELK1,FOSL1,Activation,3
ELK1-SRF-ELK4 complex,SRF,FOSL1,Activation,3
ELK1-SRF-ELK3 complex,ELK1,FOSL1,Activation,3
ELK1-SRF-ELK3 complex,SRF,FOSL1,Activation,3
ELK1-SAP1a-SRF complex,ELK1,FOSL1,Activation,3
ELK1-SAP1a-SRF complex,SRF,FOSL1,Activation,3
ELK1-SRF-ELK4 complex,ELK1,MCL1,Unknown,3
ELK1-SRF-ELK4 complex,ELK4,MCL1,Unknown,3
ELK1-SRF-ELK4 complex,SRF,MCL1,Unknown,3
ELK1-SRF-ELK3 complex,ELK1,MCL1,Unknown,3
ELK1-SRF-ELK3 complex,SRF,MCL1,Unknown,3
ELK1-SAP1a-SRF complex,ELK1,MCL1,Unknown,3
ELK1-SAP1a-SRF complex,ELK4,MCL1,Unknown,3
ELK1-SAP1a-SRF complex,SRF,MCL1,Unknown,3
ERG-JUN-FOS DNA-protein complex,ERG,CXCL8,Repression,3
ERG-JUN-FOS DNA-protein complex,FOS,CXCL8,Unknown,3
ERG-JUN-FOS DNA-protein complex,JUN,CXCL8,Activation,3
ERG-JUN-FOS DNA-protein complex,JUN,CXCL8,Unknown,3
ETS2-ERG complex,ERG,CXCL8,Repression,2
ETS2-ERG complex,ETS2,CXCL8,Activation,2
ETS2-ERG complex,ERG,ERG,Activation,2
ETS2-ERG complex,ETS2,ERG,Activation,2
ETS2-ERG complex,ERG,ICAM1,Repression,2
ETS2-ERG complex,ETS2,ICAM1,Activation,2
ETS2-ERG complex,ERG,VWF,Activation,2
ETS2-ERG complex,ERG,VWF,Unknown,2
ETS2-ERG complex,ETS2,VWF,Unknown,2
ESR1-SP1 complex,ESR1,ABCG2,Unknown,2
ESR1-SP1 complex,SP1,ABCG2,Unknown,2
ESR1-SP1 complex,ESR1,AHR,Unknown,2
ESR1-SP1 complex,SP1,AHR,Repression,2
ESR1-JUN-GRIP1 complex,ESR1,AR,Activation,3
ESR1-JUN-GRIP1 complex,JUN,AR,Repression,3
ESR1-JUN-GRIP1 complex,JUN,AR,Unknown,3
ESR1-JUN complex,ESR1,AR,Activation,2
ESR1-JUN complex,JUN,AR,Repression,2
ESR1-JUN complex,JUN,AR,Unknown,2
ESR1-SP1 complex,ESR1,AR,Activation,2
ESR1-SP1 complex,SP1,AR,Activation,2
ESR1-SP1 complex,SP1,AR,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,BCL2,Activation,3
Er-alpha-p53-hdm2 complex,ESR1,BCL2,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,BCL2,Repression,3
Er-alpha-p53-hdm2 complex,TP53,BCL2,Unknown,3
ESR1-SP1 complex,ESR1,BCL2,Activation,2
ESR1-SP1 complex,ESR1,BCL2,Unknown,2
ESR1-SP1 complex,SP1,BCL2,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,BRCA1,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,BRCA1,Repression,3
Er-alpha-p53-hdm2 complex,TP53,BRCA1,Unknown,3
ESR1-JUN-GRIP1 complex,ESR1,BRCA1,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,BRCA1,Activation,3
ESR1-JUN complex,ESR1,BRCA1,Unknown,2
ESR1-JUN complex,JUN,BRCA1,Activation,2
ESR1-SP1 complex,ESR1,BRCA1,Unknown,2
ESR1-SP1 complex,SP1,BRCA1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,BTG2,Repression,3
Er-alpha-p53-hdm2 complex,TP53,BTG2,Unknown,3
Er-alpha-p53-hdm2 complex,ESR1,CCNA2,Activation,3
Er-alpha-p53-hdm2 complex,TP53,CCNA2,Unknown,3
ESR1-SP1 complex,ESR1,CCNA2,Activation,2
ESR1-SP1 complex,SP1,CCNA2,Repression,2
Er-alpha-p53-hdm2 complex,ESR1,CCND1,Activation,3
Er-alpha-p53-hdm2 complex,ESR1,CCND1,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,CCND1,Repression,3
