yourlist:M20211110A084FC58F6BBA219896F365D15F2EB442C8B28F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YJR010W	P08536	MET3_YEAST	reviewed	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Methionine-requiring protein 3) (Sulfate adenylate transferase) (SAT)	MET3 YJR010W J1436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
YGR087C	P26263	PDC6_YEAST	reviewed	Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC6 YGR087C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563
YDR518W	P32474	EUG1_YEAST	reviewed	Protein disulfide-isomerase EUG1 (PDI) (EC 5.3.4.1) (Endoplasmic reticulum protein EUG1)	EUG1 YDR518W D9719.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517
YJL034W	P16474	BIP_YEAST	reviewed	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein homolog) (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	KAR2 GRP78 SSD1 YJL034W J1248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	682
YCL018W	P04173	LEU3_YEAST	reviewed	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)	LEU2 YCL018W YCL18W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	364
YOL031C	Q08199	SIL1_YEAST	reviewed	Nucleotide exchange factor SIL1 (Protein SLS1)	SIL1 PER100 SLS1 YOL031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	421
YKL216W	P28272	PYRD_YEAST	reviewed	Dihydroorotate dehydrogenase (fumarate) (DHOD) (DHODase) (DHOdehase) (EC 1.3.98.1) (Dihydroorotate oxidase)	URA1 YKL216W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	314
YHR176W	P38866	FMO1_YEAST	reviewed	Thiol-specific monooxygenase (EC 1.14.13.-) (Flavin-dependent monooxygenase)	FMO1 YHR176W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	432
YLR364W	Q05926	GLRX8_YEAST	reviewed	Glutaredoxin-8 (Glutathione-dependent oxidoreductase 8)	GRX8 YLR364W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109
YMR120C	P38009	PUR92_YEAST	reviewed	Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE17 YMR120C YM8564.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592
YJL052W	P00360	G3P1_YEAST	reviewed	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12)	TDH1 GPD1 SSS2 YJL052W J1154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
YLR058C	P37291	GLYC_YEAST	reviewed	Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHM2 SHMT2 YLR058C L2156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
