Complex ID;Size;List of proteins;Quantitative prediction 0;Average abundance;Average size of simulated complexes;Best matching reference complex;Matching thr;Length of reference complex;P-value matching;Fraction of fictitious domains;Functional Enrichment (DAVID)
0;2;P07237,Q9UMX0;40;40.0000;0.3500;Prolyl 4-hydroxylase (alpha(III)-type);0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P07237,Q9UMX0&tool=chartReport&annot=GOTERM_MF_ALL
1;2;Q02218,P09622;225;225.0000;0.7200;;;;;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q02218,P09622&tool=chartReport&annot=GOTERM_MF_ALL
2;2;P26368,Q15637;19;19.0000;0.7368;CF IIAm complex (Cleavage factor IIAm complex);0.0312;16;0.021555449136062388;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P26368,Q15637&tool=chartReport&annot=GOTERM_MF_ALL
3;2;P20339,Q12846;42;42.0000;1.1905;RAB5-EEA1 complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P20339,Q12846&tool=chartReport&annot=GOTERM_MF_ALL
4;2;Q15436,P55735;25;25.0000;0.9600;Nup 107-160 subcomplex;0.0556;9;0.012153838532286191;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15436,P55735&tool=chartReport&annot=GOTERM_MF_ALL
5;2;Q13185,Q13263;30;30.0000;0.6667;NCOR1 complex;0.0500;10;0.013499677989333788;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q13185,Q13263&tool=chartReport&annot=GOTERM_MF_ALL
6;2;Q9UNE7,P34932;3;3.0000;2.0000;N-NOS-CHIP-HSP70-1 complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q9UNE7,P34932&tool=chartReport&annot=GOTERM_MF_ALL
7;2;O00401,Q9UKS6;5;5.0000;2.0000;N-WASp homomer;0.5000;1;0.0013540961408264013;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O00401,Q9UKS6&tool=chartReport&annot=GOTERM_MF_ALL
8;2;P62873,P04899;91;91.0000;0.3956;G protein complex (HDAC4, GNB1, GNG2);0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=P62873,P04899&tool=chartReport&annot=GOTERM_MF_ALL
9;2;O60610,P61586;40;40.0000;0.5000;MRIP-RHOA complex;0.2500;2;0.0027072748723421347;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=O60610,P61586&tool=chartReport&annot=GOTERM_MF_ALL
10;2;Q15599,Q01970;4;4.0000;2.0000;PLCB3-PARD3-PARD6A complex;0.1667;3;0.004059536194545261;0;http://david.abcc.ncifcrf.gov/api.jsp?type=ENSEMBL_GENE_ID&ids=Q15599,Q01970&tool=chartReport&annot=GOTERM_MF_ALL
